Term_PK	Term_Name	Identifier	Is_Leaf	Rank	Parent_Term_Name	Parent_Term_ID	Grandparent_Term_Name	Grandparent_Term_ID	Common_Name	Synonym	Mnemonic
10239NEWT1	Viruses	10239	0	Superkingdom	root	1					9VIRU
10472NEWT1	Plasmaviridae	10472	0	Family	Viruses	10239	Viruses	10239			
10473NEWT1	Plasmavirus	10473	0	Genus	Plasmaviridae	10472	Plasmaviridae	10472			
10474NEWT1	Fuselloviridae	10474	0	Family	Viruses	10239	Viruses	10239			
10475NEWT1	Alphafusellovirus	10475	0	Genus	Fuselloviridae	10474	Fuselloviridae	10474			
10556NEWT1	Rhizidiovirus	10556	1	Genus	Viruses	10239	Viruses	10239			
12333NEWT1	unclassified bacterial viruses	12333	0		Viruses	10239	Viruses	10239			
12340NEWT1	Enterobacteria phage 933J	12340	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
12347NEWT1	Actinophage JHJ-1	12347	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
12366NEWT1	Streptococcus pyogenes phage H4489A	12366	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			BPH44
12371NEWT1	Bacteriophage H30	12371	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			BPH30
12374NEWT1	Lactococcus phage	12374	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
12375NEWT1	Lactococcus phage (isolate 7-9)	12375	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333		Lactococcus bacteriophage isolate 7-9	BPL79
12386NEWT1	Lactococcus phage mi7-9	12386	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
12388NEWT1	Mycobacterium phage FRAT1	12388	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333		Mycobacteriophage FRAT1	BPMFR
12392NEWT1	Lactococcus phage mv4	12392	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333		Lactococcus delbrueckii bacteriophage mv4	BPMV4
12403NEWT1	Leuconostoc phage P32	12403	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
12404NEWT1	Leuconostoc phage P37	12404	1	Species	unclassified bacterial viruses	12333	unclassified bacterial viruses	12333			
